cornellnumber,pedigree
F03F111,ped21
F03F111,ped23
F03F111,ped25
F03F111,ped45
F03F169,ped24
F03F169,ped32
F03F169,ped33
F03F169,ped37
F03F169,ped44
F03F340,ped20
F03F340,ped24
F03F340,ped27
F03F340,ped37
F03F352,ped25
F03F352,ped39
F03F352,ped40
F03F352,ped42
F03F355,ped38
F03F355,ped40
F03F355,ped41
F03S098,ped26
F03S130,ped21
F03S134,ped36
F03S136,
F03S173,ped51
F03S207,ped36
F04F014,ped20
F04F014,ped24
F04F014,ped27
F04F014,ped37
F04F047,ped25
F04F047,ped39
F04F047,ped40
F04F047,ped42
F04F056,ped30
F04F056,ped31
F04F056,ped32
F04F056,ped33
F04F056,ped35
F04F056,ped48
F04F056,ped49
F04F137,ped38
F04F137,ped40
F04F137,ped41
F04F645,ped31
F04F645,ped32
F04F645,ped33
F04F645,ped35
F04F645,ped48
F04F645,ped49
F04F645,
F04F656,ped32
F04F656,ped33
F04F656,ped37
F04F656,ped44
F04F683,ped50
F05F011,ped51
F05F020,ped50
F05F032,ped26
F05F034,ped21
F05F090,ped36
F05F299,ped44
F05F302,ped48
F05F303,ped47
F05F307,ped49
F05F309,ped41
F05F312,ped35
F05F316,ped30
F05F320,ped29
F05F320,ped34
F05F320,ped50
F05F325,ped28
F05F326,ped29
F05F328,ped36
F05F329,ped26.5
F05F332,ped26.5
F05F334,ped28
F05F334,ped42
F05F334,ped43
F05F334,ped47
F05F335,ped34
F05F336,ped22
F05F336,ped51
F05F436,ped26.5
F05F436,ped28
F05F436,ped42
F05F436,ped43
F05F436,ped47
F05F437,ped19
F05F437,ped22
F05F437,ped23
F05F437,ped30
F05F437,ped35
F05F439,ped20
F05F439,ped22
F05F439,ped26
F05F439,ped26.5
F05F439,ped27
F05F439,ped28
F05F439,ped29
F05F439,ped31
F05F439,ped34
F05F439,ped36
F05F439,ped38
F05F439,ped46
F05F439,ped51
F05F442,ped26
F05F479,ped19
F05F479,ped43
F05F484,ped41
F05F484,ped49
F05F484,ped50
F05F492,ped47
F05F492,ped48
F05F500,ped22
F05F500,ped34
F05F500,ped51
F05F505,ped26.5
F05F505,ped28
F05F505,ped29
F05F505,ped36
F05F506,ped30
F05F506,ped35
F05F511,ped27
F05F511,ped29
F05F511,ped31
F05F511,ped34
F05F511,ped38
F05F511,ped46
F05F511,ped50
F05F512,ped21
F05F512,ped23
F05F512,ped25
F05F512,ped45
F05F532,ped41
F05F532,ped49
F05F539,ped26.5
F05F539,ped28
F05F539,ped42
F05F539,ped43
F05F539,ped47
F05F558,ped39
F05F560,ped26
F05F562,ped20
F05F565,ped23
F05F567,ped19
F05F579,ped46
F05F580,ped45
F05F587,ped19
F05F587,ped43
F05F587,ped45
F05F587,ped46
F05F588,ped44
F05F588,ped47
F05F588,ped48
F05F590,ped20
F05F590,ped22
F05F590,ped26
F05F591,ped19
F05F591,ped24
F05F591,
F05F592,ped45
F05F592,ped46
F05F594,ped29
F05F594,ped34
F05F594,ped50
F06F451,ped40
F06F452,ped42
F06F455,ped39
F06F456,ped25
F06F458,ped43
F06F460,ped19
F06F465,ped20
F06F465,ped24
F06F465,ped27
F06F469,ped31
F06F469,ped38
F06F471,ped46
F06F472,ped27
F06F478,ped32
F06F478,ped33
F06F479,ped37
F06F479,ped44
F06F483,ped30
F06F485,ped31
F06F486,ped35
F06F486,ped48
F06F487,ped33
F06F489,ped32
F06F490,ped49
F06F874,ped40
F06F875,ped38
F06F876,ped41
F06F880,ped25
F06F881,ped21
F06F881,ped45
F06F883,ped23
F07F138,
F07F139,
F07F140,
F07F141,
F07F142,
F07F143,
F07F144,
F07F145,
F07F146,
F07F147,
F07F148,
F07F149,
F07F150,
F07F151,
F07F152,
F07F153,
F07F154,
F07F155,
F07F156,
F07F157,
F07F158,
F07F159,
F07F160,
F07F161,
F07F162,
F07F163,
F07F164,
F07F165,
F07F166,
F07F167,
F07F168,
F07F169,
F07F170,
F07F171,
F07F172,
F07F173,
F07F174,
F07F175,
F07F176,
F07F177,
F07F178,
F07F179,
F07F180,
F07F181,
F07F182,
F07F183,
F07F184,
F07F185,
F07F186,
F07F187,
F07F188,
F07F189,
F07F190,
F07F191,
F07F192,
F07F193,
F07F194,
F07F195,
F07F196,
F07F198,
F07F199,
F07F200,
F07F201,
F07F202,
F07F203,
F07F204,
F07F205,
F07F206,
F07F207,
F07F208,
F07F209,
F07F210,
F07F211,
F07F212,
F07F215,
F07F216,
F07F217,
F07F218,
F07F219,
F07F220,
F07F221,
F07F222,
F07F223,
F07F224,
F07F225,
F07F226,
F07F227,
F07F228,
F07F229,
F07F237,
F07F238,
F07F239,
F07F240,
F07F241,
F07F242,
F07F243,
F07F244,
F07F245,
F07F246,
F07F247,
F07F248,
F07F249,
F07F250,
F07F251,
F07F252,
F07F253,
F07F254,
F07F255,
F07F256,
F07F257,
F07F258,
F07F259,
F07F260,
F07F261,
F07F262,
F07F263,
F07F264,
F07F265,
F07F266,
F07F267,
F07F268,
F07F269,
F07F270,
F07F271,
F07F272,
F07F273,
F07F274,
F07F275,
F07F276,
F07F277,
F07F278,
F07F279,
F07F280,
F07F281,
F07F282,
F07F283,
F07F284,
F07F285,
F07F286,
F07F287,
F07F288,
F07F289,
F07F290,
F07F291,
F07F292,
F07F293,
F07F294,
F07F295,
F07F296,
F07F297,
F07F298,
F07F299,
F07F300,
F07F301,
F07F302,
F07F303,
F07F304,
F07F305,
F07F306,
F07F307,
F07F457,ped24
F07F460,ped22
F08F288,ped44
ped37dam,ped37
