cornellnumber,pedigree,generation
F06F458,ped43,2
F05F565,ped23,2
F06F483,ped30,2
F06F460,ped19,2
F05F567,ped19,2
F07F215,ped19,3
F07F216,ped19,3
F07F217,ped19,3
F07F218,ped19,3
F07F219,ped19,3
F06F465,ped20,2
F05F562,ped20,2
F07F283,ped20,3
F07F284,ped20,3
F07F285,ped20,3
F06F881,ped21,2
F05F034,ped21,2
F07F208,ped21,3
F07F209,ped21,3
F07F210,ped21,3
F07F211,ped21,3
F07F212,ped21,3
F05F336,ped22,2
F07F460,ped22,2
F07F198,ped22,3
F07F199,ped22,3
F07F200,ped22,3
F06F883,ped23,2
F07F237,ped23,3
F07F238,ped23,3
F07F239,ped23,3
F07F240,ped23,3
F07F241,ped23,3
F07F242,ped23,3
F07F243,ped23,3
F07F244,ped23,3
F06F465,ped24,2
F07F457,ped24,2
F07F245,ped24,3
F07F246,ped24,3
F07F247,ped24,3
F07F248,ped24,3
F07F249,ped24,3
F07F250,ped24,3
F07F251,ped24,3
F06F456,ped25,2
F06F880,ped25,2
F07F260,ped25,3
F07F261,ped25,3
F07F262,ped25,3
F07F263,ped25,3
F07F264,ped25,3
F07F265,ped25,3
F05F560,ped26,2
F05F032,ped26,2
F07F148,ped26,3
F05F329,ped26.5,2
F05F332,ped26.5,2
F07F182,ped26.5,3
F07F183,ped26.5,3
F07F184,ped26.5,3
F06F465,ped27,2
F06F472,ped27,2
F07F185,ped27,3
F07F186,ped27,3
F07F187,ped27,3
F07F188,ped27,3
F07F189,ped27,3
F07F190,ped27,3
F07F191,ped27,3
F05F334,ped28,2
F05F325,ped28,2
F07F297,ped28,3
F07F298,ped28,3
F07F299,ped28,3
F07F300,ped28,3
F05F320,ped29,2
F05F326,ped29,2
F07F301,ped29,3
F07F302,ped29,3
F07F303,ped29,3
F07F304,ped29,3
F07F305,ped29,3
F07F306,ped29,3
F07F307,ped29,3
F05F316,ped30,2
F07F252,ped30,3
F07F253,ped30,3
F07F254,ped30,3
F07F255,ped30,3
F07F256,ped30,3
F07F257,ped30,3
F07F258,ped30,3
F07F259,ped30,3
F06F469,ped31,2
F06F485,ped31,2
F07F143,ped31,3
F07F144,ped31,3
F07F145,ped31,3
F07F146,ped31,3
F07F147,ped31,3
F06F478,ped32,2
F06F489,ped32,2
F07F290,ped32,3
F07F291,ped32,3
F07F292,ped32,3
F07F293,ped32,3
F07F294,ped32,3
F07F295,ped32,3
F07F296,ped32,3
F06F478,ped33,2
F06F487,ped33,2
F07F276,ped33,3
F07F277,ped33,3
F07F278,ped33,3
F07F279,ped33,3
F07F280,ped33,3
F07F281,ped33,3
F07F282,ped33,3
F05F320,ped34,2
F05F335,ped34,2
F07F138,ped34,3
F07F139,ped34,3
F07F140,ped34,3
F07F141,ped34,3
F07F142,ped34,3
F06F486,ped35,2
F05F312,ped35,2
F07F159,ped35,3
F07F160,ped35,3
F07F161,ped35,3
F07F162,ped35,3
F07F163,ped35,3
F07F164,ped35,3
F05F328,ped36,2
F05F090,ped36,2
F07F286,ped36,3
F07F287,ped36,3
F07F288,ped36,3
F07F289,ped36,3
F06F479,ped37,2
ped37dam,ped37,2
F07F192,ped37,3
F07F193,ped37,3
F07F194,ped37,3
F07F195,ped37,3
F07F196,ped37,3
F06F469,ped38,2
F06F875,ped38,2
F07F168,ped38,3
F07F169,ped38,3
F07F170,ped38,3
F07F171,ped38,3
F05F558,ped39,2
F06F455,ped39,2
F07F149,ped39,3
F07F150,ped39,3
F07F151,ped39,3
F07F152,ped39,3
F07F153,ped39,3
F06F451,ped40,2
F06F874,ped40,2
F07F204,ped40,3
F05F309,ped41,2
F06F876,ped41,2
F07F205,ped41,3
F07F206,ped41,3
F07F207,ped41,3
F05F334,ped42,2
F06F452,ped42,2
F07F165,ped42,3
F07F166,ped42,3
F07F167,ped42,3
F05F334,ped43,2
F07F220,ped43,3
F07F221,ped43,3
F07F222,ped43,3
F07F223,ped43,3
F07F224,ped43,3
F07F225,ped43,3
F07F226,ped43,3
F07F227,ped43,3
F06F479,ped44,2
F05F299,ped44,2
F07F269,ped44,3
F07F270,ped44,3
F07F271,ped44,3
F07F272,ped44,3
F07F273,ped44,3
F07F274,ped44,3
F07F275,ped44,3
F06F881,ped45,2
F05F580,ped45,2
F07F201,ped45,3
F07F202,ped45,3
F07F203,ped45,3
F06F471,ped46,2
F05F579,ped46,2
F07F268,ped46,3
F05F334,ped47,2
F05F303,ped47,2
F07F266,ped47,3
F07F267,ped47,3
F06F486,ped48,2
F05F302,ped48,2
F07F172,ped48,3
F07F173,ped48,3
F06F490,ped49,2
F05F307,ped49,2
F07F228,ped49,3
F07F229,ped49,3
F05F320,ped50,2
F05F020,ped50,2
F07F154,ped50,3
F07F155,ped50,3
F07F156,ped50,3
F07F157,ped50,3
F07F158,ped50,3
F05F336,ped51,2
F07F174,ped51,3
F07F175,ped51,3
F07F176,ped51,3
F07F177,ped51,3
F07F178,ped51,3
F07F179,ped51,3
F07F180,ped51,3
F07F181,ped51,3
F05F439,ped26.5,1
F05F505,ped26.5,1
F05F436,ped26.5,1
F05F539,ped26.5,1
F05F587,ped19,1
F05F479,ped19,1
F05F437,ped19,1
F05F591,ped19,1
F04F014,ped20,1
F03F340,ped20,1
F05F439,ped20,1
F05F590,ped20,1
F03F111,ped21,1
F05F512,ped21,1
0F207F2,ped21,1
F03S130,ped21,1
F05F439,ped22,1
F05F500,ped22,1
F05F437,ped22,1
F05F590,ped22,1
F03F111,ped23,1
F05F512,ped23,1
F05F437,ped23,1
F04F014,ped24,1
F03F340,ped24,1
F03F169,ped24,1
F05F591,ped24,1
F03F352,ped25,1
F04F047,ped25,1
F03F111,ped25,1
F05F512,ped25,1
F05F439,ped26,1
F05F590,ped26,1
F05F442,ped26,1
F03S098,ped26,1
F04F014,ped27,1
F03F340,ped27,1
F05F439,ped27,1
F05F511,ped27,1
F05F436,ped28,1
F05F539,ped28,1
F05F439,ped28,1
F05F505,ped28,1
F05F594,ped29,1
F05F511,ped29,1
F05F439,ped29,1
F05F505,ped29,1
F05F437,ped30,1
F05F506,ped30,1
F04F056,ped30,1
F05F439,ped31,1
F05F511,ped31,1
F04F056,ped31,1
F04F645,ped31,1
F03F169,ped32,1
F04F656,ped32,1
F04F056,ped32,1
F04F645,ped32,1
F03F169,ped33,1
F04F656,ped33,1
F04F056,ped33,1
F04F645,ped33,1
F05F594,ped34,1
F05F511,ped34,1
F05F439,ped34,1
F05F500,ped34,1
F04F056,ped35,1
F04F645,ped35,1
F05F437,ped35,1
F05F506,ped35,1
F05F439,ped36,1
F05F505,ped36,1
F03S207,ped36,1
F03S134,ped36,1
F03F169,ped37,1
F04F656,ped37,1
F04F014,ped37,1
F03F340,ped37,1
F05F439,ped38,1
F05F511,ped38,1
F03F355,ped38,1
F04F137,ped38,1
000F206,ped39,1
F03F352,ped39,1
F04F047,ped39,1
F03F352,ped40,1
F04F047,ped40,1
F03F355,ped40,1
F04F137,ped40,1
F05F532,ped41,1
F05F484,ped41,1
F03F355,ped41,1
F04F137,ped41,1
F05F436,ped42,1
F05F539,ped42,1
F03F352,ped42,1
F04F047,ped42,1
F05F436,ped43,1
F05F539,ped43,1
F05F587,ped43,1
F05F479,ped43,1
F03F169,ped44,1
F04F656,ped44,1
F05F588,ped44,1
F08F288,ped44,1
F03F111,ped45,1
F05F512,ped45,1
F05F587,ped45,1
F05F592,ped45,1
F05F439,ped46,1
F05F511,ped46,1
F05F587,ped46,1
F05F592,ped46,1
F05F436,ped47,1
F05F539,ped47,1
F05F588,ped47,1
F05F492,ped47,1
F04F056,ped48,1
F04F645,ped48,1
F05F588,ped48,1
F05F492,ped48,1
F04F056,ped49,1
F04F645,ped49,1
F05F532,ped49,1
F05F484,ped49,1
F05F594,ped50,1
F05F511,ped50,1
F04F683,ped50,1
F05F484,ped50,1
F05F439,ped51,1
F05F500,ped51,1
F03S173,ped51,1
F05F011,ped51,2
F05F591,,,
F04F645,,,
F03S136,,,
